,postcode,lat,lon,total_square,rooms,floor,city,settlement,district,area,price_mln
0,127473.0,55.778894,37.608844,137.0,3.0,6.0,Москва,,Тверской район,,63.0
1,108815.0,55.551025,37.313054,16.7,,1.0,Москва,,Филимонковское поселение,,3.25
2,,55.594802,37.431264,76.0,3.0,6.0,Москва,,Сосенское поселение,,16.0
3,,55.594332,37.428099,24.0,1.0,10.0,Москва,,Сосенское поселение,,7.84
4,121352.0,55.721097,37.464342,126.0,3.0,16.0,Москва,,Фили-Давыдково район,,120.0
5,142721.0,55.557342,37.809447,74.0,3.0,14.0,,д. Мисайлово,,,13.3
6,143986.0,55.740408,38.011392,65.0,2.0,3.0,Балашиха,,,Железнодорожный м-н,9.5
7,143072.0,55.659569,37.21837,87.0,3.0,11.0,,пос. ВНИИССОК,,,15.0
8,,55.700571,37.962692,35.8,2.0,11.0,Люберцы,,,Самолёт м-н,7.14
9,127427.0,55.820044,37.602498,68.3,2.0,4.0,Москва,,Марфино район,,31.5
10,123181.0,55.816079,37.402947,74.7,3.0,14.0,Москва,,Строгино район,,20.7
11,109052.0,55.727742,37.712031,51.9,2.0,21.0,Москва,,Нижегородский район,,13.44
12,108849.0,55.636639,37.314014,53.0,2.0,14.0,Москва,,Внуковское поселение,Переделкино Ближнее м-н,14.0
13,140016.0,55.701957,37.966424,34.8,1.0,16.0,Люберцы,,,Самолёт м-н,7.2
14,143410.0,55.820089,37.374124,50.0,1.0,12.0,Красногорск,,,Павшинская пойма м-н,11.8
15,141402.0,55.905461,37.417544,42.0,1.0,8.0,Химки,,,Старые Химки м-н,7.55
16,109028.0,55.750044,37.649714,107.0,2.0,2.0,Москва,,Таганский район,,111.26
17,119192.0,55.695177,37.531533,97.0,2.0,4.0,Москва,,Раменки район,,65.0
18,,55.558567,37.503349,140.1,4.0,12.0,Москва,,Сосенское поселение,,37.57
19,117519.0,55.615313,37.595093,36.0,1.0,11.0,Москва,,Чертаново Центральное район,,9.7
20,117628.0,55.573292,37.591043,42.0,1.0,10.0,Москва,,Северное Бутово район,,11.5
21,141090.0,55.931653,37.850988,52.0,2.0,3.0,Королёв,,,Юбилейный м-н,8.8
22,127427.0,55.820044,37.602498,37.48,1.0,17.0,Москва,,Марфино район,,20.64
23,127224.0,55.885815,37.678043,114.6,3.0,6.0,Москва,,Северное Медведково район,,27.5
24,107589.0,55.82454,37.826496,45.3,2.0,2.0,Москва,,Гольяново район,,11.5
25,123592.0,55.806257,37.404501,59.7,3.0,3.0,Москва,,Строгино район,,18.9
26,123242.0,55.759822,37.575351,154.68,3.0,16.0,Москва,,Пресненский район,,170.66
27,141006.0,55.926089,37.762722,92.8,3.0,4.0,Мытищи,,,24-й м-н,15.7
28,107113.0,55.794366,37.654127,66.9,2.0,19.0,Москва,,Сокольники район,,23.12
29,142720.0,55.52108,37.590721,75.0,3.0,7.0,,рп. Дрожжино,,Бутово парк 2 м-н,12.5
30,143441.0,55.860761,37.377363,39.16,1.0,24.0,Москва,,Митино район,,11.22
31,115142.0,55.67629,37.689361,52.4,2.0,5.0,Москва,,Нагатинский Затон район,,15.0
32,125252.0,55.793629,37.524699,142.0,5.0,3.0,Москва,,Хорошёвский район,,65.0
33,109052.0,55.728307,37.739934,20.63,1.0,3.0,Москва,,Нижегородский район,,7.03
34,127106.0,55.844424,37.579546,37.1,2.0,8.0,Москва,,Марфино район,,11.3
35,140060.0,55.607467,37.980339,54.0,2.0,2.0,,рп. Октябрьский,,,10.26
36,109316.0,55.720101,37.688791,62.1,2.0,20.0,Москва,,Южнопортовый район,,19.36
37,129594.0,55.797873,37.625361,64.48,2.0,19.0,Москва,,Марьина Роща район,,25.86
38,119361.0,55.696476,37.474056,120.0,3.0,24.0,Москва,,Раменки район,,50.0
39,125438.0,55.839902,37.512305,35.0,1.0,7.0,Москва,,Головинский район,,12.93
40,143902.0,55.817534,37.953557,39.2,1.0,12.0,Балашиха,,,,6.6
41,109052.0,55.728307,37.739934,20.1,1.0,24.0,Москва,,Нижегородский район,,7.2
42,129347.0,55.876376,37.716456,63.1,3.0,4.0,Москва,,Ярославский район,,13.55
43,127427.0,55.820044,37.602498,46.07,2.0,5.0,Москва,,Марфино район,,22.05
44,108849.0,55.637593,37.316732,34.0,1.0,8.0,Москва,,Внуковское поселение,Переделкино Ближнее м-н,10.2
45,143025.0,55.723832,37.355074,38.5,1.0,8.0,,с. Немчиновка,,Микрорайон Немчиновка жилой комплекс,8.3
46,111531.0,55.771888,37.836552,68.0,3.0,3.0,Москва,,Ивановское район,,13.5
47,108814.0,55.548055,37.514951,55.8,2.0,21.0,Москва,,Южное Бутово район,,12.21
48,141207.0,56.008364,37.842638,86.5,3.0,12.0,Пушкино,,,,14.4
49,123423.0,55.749804,37.458819,47.8,1.0,2.0,Москва,,Хорошёво-Мнёвники район,Терехово (бывш.) д.,24.11
50,125362.0,55.828112,37.453794,73.0,3.0,5.0,Москва,,Покровское-Стрешнево район,,18.3
51,140053.0,55.649255,37.854007,81.0,3.0,19.0,Котельники,,,Силикат м-н,14.68
52,107078.0,55.771159,37.643736,40.46,,9.0,Москва,,Красносельский район,,30.14
53,111677.0,55.712936,37.946659,31.0,1.0,9.0,Москва,,Некрасовка район,Люберецкие Поля м-н,8.6
54,119361.0,55.675582,37.453584,34.9,1.0,13.0,Москва,,Очаково-Матвеевское район,,10.79
55,119501.0,55.715352,37.475325,70.2,2.0,19.0,Москва,,Очаково-Матвеевское район,,46.85
56,127204.0,55.932331,37.542964,34.5,1.0,2.0,Москва,,Северный район,,8.9
57,143002.0,55.656401,37.233443,89.9,3.0,1.0,Одинцово,,,,14.5
58,140055.0,55.66862,37.854711,105.5,3.0,2.0,Котельники,,,Белая Дача м-н,17.9
59,109518.0,55.71452,37.73178,66.2,3.0,9.0,Москва,,Текстильщики район,,15.7
60,127427.0,55.820044,37.602498,38.61,1.0,11.0,Москва,,Марфино район,,19.26
61,129090.0,55.774751,37.62544,32.0,1.0,11.0,Москва,,Мещанский район,,15.5
62,117186.0,55.678337,37.607823,68.4,3.0,4.0,Москва,,Котловка район,,16.5
63,119285.0,55.723075,37.523695,162.0,4.0,13.0,Москва,,Раменки район,,198.92
64,125284.0,55.783287,37.558644,67.7,2.0,8.0,Москва,,Беговой район,,28.5
65,121108.0,55.728138,37.45019,44.4,1.0,3.0,Москва,,Фили-Давыдково район,,14.52
66,115035.0,55.745131,37.638857,57.0,1.0,2.0,Москва,,Замоскворечье район,,68.93
67,109156.0,55.687213,37.856957,29.7,1.0,2.0,Москва,,Выхино-Жулебино район,,6.4
68,143026.0,55.701303,37.360556,73.8,3.0,16.0,,рп. Новоивановское,,,14.14
69,121357.0,55.700135,37.467573,45.49,2.0,20.0,Москва,,Очаково-Матвеевское район,,18.19
70,108850.0,55.624275,37.309717,38.0,1.0,14.0,Москва,,Внуковское поселение,,9.7
71,143909.0,55.833973,37.955749,34.0,1.0,10.0,Балашиха,,,,6.6
72,117647.0,55.628216,37.519811,55.9,2.0,12.0,Москва,,Коньково район,,17.5
73,143909.0,55.832996,37.955103,54.44,2.0,19.0,Балашиха,,,,6.65
74,119285.0,55.723722,37.527248,129.6,3.0,8.0,Москва,,Раменки район,,73.0
75,117133.0,55.633336,37.475116,33.0,1.0,6.0,Москва,,Тёплый Стан район,,10.9
76,119607.0,55.696793,37.501289,100.5,4.0,2.0,Москва,,Раменки район,,35.0
77,129343.0,55.848882,37.650286,25.8,1.0,30.0,Москва,,Свиблово район,,10.57
78,109028.0,55.757184,37.649684,160.0,4.0,2.0,Москва,,Басманный район,,125.0
79,,55.593432,37.432521,82.5,4.0,7.0,Москва,,Сосенское поселение,,17.1
80,129343.0,55.848882,37.650286,25.2,1.0,14.0,Москва,,Свиблово район,,10.31
81,105120.0,55.751334,37.663171,118.5,4.0,2.0,Москва,,Таганский район,,59.0
82,121309.0,55.750645,37.503058,81.4,3.0,4.0,Москва,,Филёвский парк район,,33.2
83,107370.0,55.81154,37.720997,40.2,3.0,2.0,Москва,,Богородское район,,12.49
84,125362.0,55.836889,37.423529,102.0,3.0,32.0,Москва,,Покровское-Стрешнево район,,27.49
85,117405.0,55.584005,37.580574,35.0,1.0,5.0,Москва,,Чертаново Южное район,,10.2
86,141406.0,55.89293,37.476422,43.0,2.0,5.0,Химки,,,Левобережный м-н,8.2
87,121471.0,55.714813,37.43295,40.5,1.0,9.0,Москва,,Можайский район,,15.0
88,115114.0,55.726457,37.644051,58.9,2.0,7.0,Москва,,Замоскворечье район,,30.9
89,143923.0,55.793869,37.888464,87.1,3.0,2.0,Балашиха,,,Новое Измайлово квартал,15.0
90,109559.0,55.667795,37.775366,40.0,1.0,18.0,Москва,,Люблино район,,13.0
91,141406.0,55.897757,37.480453,50.9,2.0,6.0,Химки,,,Левобережный м-н,9.4
92,125319.0,55.806149,37.541592,97.0,3.0,29.0,Москва,,Аэропорт район,,38.7
93,123022.0,55.766095,37.559418,75.38,3.0,12.0,Москва,,Пресненский район,,34.2
94,123007.0,55.770847,37.517985,44.2,2.0,15.0,Москва,,Хорошёвский район,,14.05
